Soil Moisture [RH%],Soil Temperature [C],Environmental Temperature [ C],Environmental Humidity [RH %],Weather Forecast Rainfall [mm],Crop Data Evapotranspiration [mm],Irrigation_Decision
26.6,23.5,24.3,62.5,0.0,0.02,2
26.49,23.5,24.0,63.0,0.0,0.02,2
26.49,23.5,23.8,63.5,0.0,0.02,2
26.49,23.5,23.6,64.5,0.0,0.02,2
26.49,23.5,23.4,65.0,0.0,0.02,2
26.42,23.4,23.3,65.5,0.0,0.0,2
26.42,23.4,23.4,65.5,0.0,0.0,2
26.37,23.4,23.3,66.0,0.0,0.0,2
26.37,23.4,23.1,66.5,0.0,0.0,2
26.37,23.4,23.1,67.0,0.0,0.0,2
26.32,23.4,23.1,67.0,0.0,0.0,2
26.32,23.4,22.9,68.0,0.0,0.0,2
26.32,23.4,22.7,68.0,0.0,0.0,2
26.25,23.4,22.6,69.5,0.0,0.0,2
26.25,23.4,22.4,70.0,0.0,0.0,2
26.25,23.4,22.5,70.0,0.0,0.0,2
26.19,23.3,22.3,70.5,0.0,0.0,2
26.19,23.3,22.0,71.5,0.0,0.0,2
26.19,23.3,22.0,72.0,0.0,0.0,2
26.19,23.3,22.0,72.0,0.0,0.0,2
26.14,23.3,21.9,72.5,0.0,0.0,2
26.14,23.3,22.0,72.5,0.0,0.0,2
26.14,23.3,22.1,72.5,0.0,0.0,2
26.14,23.3,22.1,72.5,0.0,0.0,2
26.09,23.3,21.9,72.5,0.0,0.0,2
26.14,23.2,22.0,73.0,0.0,0.0,2
26.09,23.2,22.0,72.5,0.0,0.0,2
26.09,23.2,21.9,73.0,0.0,0.0,2
26.02,23.2,21.6,74.0,0.0,0.0,2
26.02,23.2,21.4,74.5,0.0,0.0,2
26.02,23.2,21.2,75.0,0.0,0.0,2
26.02,23.2,21.1,76.0,0.0,0.0,2
25.96,23.2,20.9,76.5,0.0,0.0,2
25.96,23.2,20.7,77.0,0.0,0.0,2
25.96,23.1,20.7,79.0,0.0,0.0,2
25.96,23.1,20.1,80.0,0.0,0.0,2
25.96,23.1,19.8,81.5,0.0,0.0,2
25.96,23.1,19.5,82.0,0.0,0.0,2
25.96,23.1,19.3,82.5,0.0,0.0,2
25.86,23.1,18.9,83.5,0.0,0.0,2
25.86,23.1,18.6,84.5,0.0,0.0,2
25.86,23.1,18.3,85.0,0.0,0.0,2
25.8,23.0,18.3,86.0,0.0,0.0,2
25.8,23.0,18.0,87.0,0.0,0.0,2
25.8,23.0,17.9,87.0,0.0,0.0,2
25.8,23.0,17.8,88.0,0.0,0.0,2
25.8,23.0,17.7,88.5,0.0,0.0,2
25.8,23.0,17.8,88.5,0.0,0.0,2
25.8,23.0,17.8,88.5,0.0,0.0,2
25.75,22.9,17.8,89.0,0.0,0.0,2
25.75,22.9,17.9,89.0,0.0,0.0,2
25.75,22.9,18.3,89.0,0.0,0.0,2
25.75,22.9,18.7,88.0,0.0,0.0,2
25.75,22.9,19.3,87.5,0.0,0.0,2
25.75,22.8,19.9,86.5,0.0,0.0,2
25.68,22.8,20.4,86.0,0.0,0.0,2
25.68,22.8,21.3,83.0,0.0,0.0,2
25.68,22.8,23.0,78.5,0.0,0.0,2
25.68,22.8,23.4,78.0,0.0,0.0,2
25.68,22.8,23.6,75.5,0.0,0.01,2
25.68,22.7,24.7,73.5,0.0,0.01,2
25.62,22.7,27.4,66.5,0.0,0.01,2
25.62,22.7,29.5,60.0,0.0,0.01,2
25.62,22.7,29.9,57.0,0.0,0.01,2
25.62,22.7,30.8,56.5,0.0,0.01,2
25.57,22.7,31.6,51.0,0.0,0.08,2
25.57,22.7,32.6,48.0,0.0,0.08,2
25.51,22.7,32.6,49.0,0.0,0.08,2
25.51,22.6,33.0,50.0,0.0,0.08,2
25.51,22.6,33.0,49.0,0.0,0.08,2
25.51,22.6,33.2,46.5,0.0,0.08,2
25.46,22.7,33.2,45.5,0.0,0.17,2
25.46,22.6,33.1,48.5,0.0,0.17,2
25.46,22.7,33.4,47.0,0.0,0.17,2
25.41,22.7,34.1,44.5,0.0,0.17,2
25.41,22.7,33.8,45.5,0.0,0.17,2
25.35,22.7,33.8,48.5,0.0,0.17,2
25.41,22.7,33.8,45.0,0.0,0.29,2
28.22,22.7,33.9,46.0,0.0,0.29,0
29.94,22.7,32.6,50.0,0.0,0.29,2
30.93,22.7,33.4,46.0,0.0,0.29,2
31.35,22.8,33.9,50.0,0.0,0.29,2
31.35,22.8,34.4,48.5,0.0,0.29,2
31.61,22.8,34.3,47.0,0.1,0.31,2
31.61,22.9,34.0,45.5,0.1,0.31,2
31.74,22.9,32.8,50.5,0.1,0.31,2
31.68,22.9,33.4,46.0,0.1,0.31,2
31.61,22.9,34.3,47.5,0.1,0.31,2
31.35,23.0,34.6,48.0,0.1,0.31,2
31.35,23.0,34.7,43.0,0.1,0.4,2
31.21,23.0,34.4,45.5,0.1,0.4,2
31.13,23.0,33.9,47.0,0.1,0.4,2
31.13,23.0,34.5,44.0,0.1,0.4,2
31.13,23.0,33.5,48.0,0.1,0.4,2
31.21,23.1,34.0,44.5,0.1,0.4,2
31.13,23.1,35.1,44.5,0.1,0.45,2
31.61,23.1,34.3,46.5,0.1,0.45,2
30.66,23.2,33.6,44.5,0.1,0.45,2
30.33,23.2,35.1,46.0,0.1,0.45,2
30.26,23.2,35.1,44.5,0.1,0.45,2
30.2,23.2,35.2,44.5,0.1,0.45,2
30.2,23.3,35.8,43.0,0.0,0.52,2
30.2,23.3,35.9,44.0,0.0,0.52,2
30.2,23.3,35.5,47.5,0.0,0.52,2
30.2,23.4,35.7,41.0,0.0,0.52,2
30.2,23.4,35.7,44.0,0.0,0.52,2
30.26,23.4,36.3,43.0,0.0,0.52,2
30.93,23.5,36.4,46.5,0.1,0.56,2
31.07,23.6,36.4,41.5,0.1,0.56,2
31.21,23.7,36.0,42.0,0.1,0.56,2
31.21,23.7,37.0,43.0,0.1,0.56,2
31.07,23.8,37.9,38.0,0.1,0.56,2
30.01,23.9,37.5,39.0,0.1,0.56,2
29.49,23.9,36.9,39.5,0.0,0.53,2
30.26,24.0,36.1,40.0,0.0,0.53,2
31.0,24.0,35.4,41.5,0.0,0.53,2
31.27,24.1,35.7,40.0,0.0,0.53,2
31.41,24.2,34.7,42.5,0.0,0.53,2
31.48,24.3,35.3,42.5,0.0,0.53,2
31.41,24.4,34.9,41.0,0.0,0.45,2
30.41,24.4,34.8,41.5,0.0,0.45,2
29.75,24.4,34.4,41.5,0.0,0.45,2
29.23,24.4,34.2,41.5,0.0,0.45,2
28.97,24.4,34.0,41.5,0.0,0.45,2
28.72,24.4,33.5,42.5,0.0,0.45,2
28.4,24.4,33.5,43.0,0.0,0.34,2
28.22,24.4,33.2,43.0,0.0,0.34,2
28.1,24.4,32.7,44.5,0.0,0.34,2
27.98,24.4,32.1,45.5,0.0,0.34,2
27.79,24.4,31.9,46.5,0.0,0.34,2
27.72,24.4,31.5,46.5,0.0,0.34,2
27.6,24.4,30.7,47.5,0.0,0.22,2
27.55,24.4,29.5,49.5,0.0,0.22,2
27.48,24.4,28.7,51.0,0.0,0.22,2
27.43,24.4,28.7,51.0,0.0,0.22,2
27.36,24.4,27.6,53.0,0.0,0.22,2
27.31,24.4,27.3,54.0,0.0,0.22,2
27.14,24.4,27.0,54.5,0.0,0.09,2
27.14,24.4,26.7,55.5,0.0,0.09,2
27.14,24.4,26.5,56.5,0.0,0.09,2
27.07,24.3,26.2,57.0,0.0,0.09,2
27.07,24.3,26.0,58.0,0.0,0.09,2
26.95,24.3,25.8,58.5,0.0,0.09,2
26.95,24.3,25.7,59.0,0.0,0.02,2
26.9,24.3,25.4,59.0,0.0,0.02,2
26.9,24.3,25.4,59.5,0.0,0.02,2
26.84,24.3,25.3,59.5,0.0,0.02,2
26.77,24.3,25.2,59.0,0.0,0.02,2
26.77,24.3,25.2,59.0,0.0,0.02,2
26.72,24.3,25.0,60.0,0.0,0.0,2
26.72,24.2,24.8,60.5,0.0,0.0,2
26.6,24.2,24.8,61.0,0.0,0.0,2
26.6,24.2,24.8,60.5,0.0,0.0,2
26.6,24.2,24.8,61.0,0.0,0.0,2
26.6,24.2,24.6,61.5,0.0,0.0,2
26.6,24.2,24.6,61.5,0.0,0.0,2
26.49,24.2,24.6,61.5,0.0,0.0,2
26.49,24.1,24.7,62.0,0.0,0.0,2
26.42,24.1,25.0,61.5,0.0,0.0,2
26.37,24.1,25.2,61.5,0.0,0.0,2
26.37,24.1,25.2,61.5,0.0,0.0,2
26.37,24.1,25.2,62.0,0.0,0.0,2
26.37,24.1,25.2,62.0,0.0,0.0,2
26.32,24.0,25.2,62.0,0.0,0.0,2
26.32,24.0,25.3,62.5,0.0,0.0,2
26.32,24.0,25.2,62.0,0.0,0.0,2
26.25,24.0,25.4,61.5,0.0,0.0,2
26.25,24.0,25.4,62.0,0.0,0.0,2
26.14,24.0,24.7,63.0,0.0,0.0,2
26.19,24.0,23.9,63.5,0.0,0.0,2
26.14,23.9,23.6,64.5,0.0,0.0,2
26.14,23.9,23.2,65.5,0.0,0.0,2
26.09,23.9,22.9,66.0,0.0,0.0,2
26.09,23.9,22.6,67.0,0.0,0.0,2
26.09,23.9,22.3,68.5,0.0,0.0,2
26.09,23.9,22.1,70.0,0.0,0.0,2
26.09,23.8,21.8,71.0,0.0,0.0,2
26.02,23.8,21.8,71.5,0.0,0.0,2
26.02,23.8,21.6,72.5,0.0,0.0,2
26.02,23.8,21.5,73.0,0.0,0.0,2
25.96,23.8,21.1,74.0,0.0,0.0,2
25.96,23.8,20.8,75.0,0.0,0.0,2
25.96,23.8,20.2,77.5,0.0,0.0,2
25.96,23.8,19.7,80.0,0.0,0.0,2
25.96,23.7,19.4,80.5,0.0,0.0,2
25.96,23.7,19.3,81.0,0.0,0.0,2
25.96,23.7,19.3,81.0,0.0,0.0,2
25.86,23.7,18.9,82.0,0.0,0.0,2
25.86,23.7,18.7,82.5,0.0,0.0,2
25.86,23.7,18.5,84.0,0.0,0.0,2
25.86,23.6,18.4,84.0,0.0,0.0,2
25.86,23.6,18.1,85.5,0.0,0.0,2
25.8,23.6,18.3,86.0,0.0,0.0,2
25.8,23.6,18.4,86.0,0.0,0.0,2
25.75,23.6,18.3,86.0,0.0,0.0,2
25.8,23.6,18.5,85.5,0.0,0.0,2
25.75,23.5,18.9,86.5,0.0,0.0,2
25.75,23.5,19.4,85.5,0.0,0.0,2
25.75,23.5,20.0,84.5,0.0,0.0,2
25.75,23.5,20.8,83.5,0.0,0.0,2
25.75,23.5,21.5,80.0,0.0,0.0,2
25.75,23.4,22.0,78.5,0.0,0.0,2
25.68,23.4,24.6,70.0,0.0,0.0,2
25.68,23.4,26.2,65.5,0.0,0.01,2
25.68,23.4,27.0,61.0,0.0,0.01,2
25.68,23.4,27.7,59.0,0.0,0.01,2
25.68,23.3,28.7,56.5,0.0,0.01,2
25.68,23.3,29.5,53.5,0.0,0.01,2
25.68,23.3,29.8,52.0,0.0,0.01,2
25.62,23.3,30.0,52.0,0.0,0.09,2
25.62,23.3,29.3,52.0,0.0,0.09,2
25.57,23.3,30.3,51.0,0.0,0.09,2
25.57,23.3,31.4,47.0,0.0,0.09,2
25.57,23.3,31.8,45.5,0.0,0.09,2
